tempo,stateEstimate.x,stateEstimate.y,stateEstimate.z,pm.batteryLevel,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,
25866,5.857553,2.286170,0.055787,10.000000,0.444971,0.808026,16.073088,
25876,5.857952,2.286532,0.056978,10.000000,0.368502,0.627529,16.044067,
25886,5.857553,2.286160,0.057033,10.000000,0.436229,0.743273,16.032322,
25896,5.858180,2.286590,0.058040,10.000000,0.360213,0.516917,16.021484,
25906,5.858202,2.286613,0.055681,10.000000,0.365345,0.534659,16.005508,
25916,5.858205,2.286616,0.055686,10.000000,0.368570,0.546329,15.990024,
25926,5.857964,2.286546,0.055750,10.000000,0.371833,0.619298,15.961601,
25936,5.858443,2.286685,0.055875,10.000000,0.372956,0.484045,15.976944,
25946,5.858448,2.286689,0.055177,10.000000,0.376233,0.510988,15.957475,
25956,5.858451,2.286692,0.055165,10.000000,0.378219,0.531199,15.939248,
25966,5.858212,2.286625,0.055183,10.000000,0.379179,0.610191,15.908058,
25976,5.858210,2.286623,0.055155,10.000000,0.380819,0.610758,15.890593,
25986,5.858212,2.286624,0.055128,10.000000,0.379445,0.610017,15.873789,
25996,5.858219,2.286643,0.053793,10.000000,0.377516,0.609209,15.858747,
26006,5.858215,2.286645,0.053698,10.000000,0.376588,0.610355,15.842573,
26016,5.857577,2.286208,0.053553,10.000000,0.441442,0.795438,15.814489,
26026,5.858202,2.286635,0.054838,10.000000,0.361546,0.560749,15.818600,
26036,5.858441,2.286705,0.054002,10.000000,0.367393,0.508681,15.811602,
26046,5.857623,2.285965,0.054621,10.000000,0.495574,0.783765,15.796453,
26056,5.857724,2.286497,0.055462,10.000000,0.341727,0.672906,15.777923,
26066,5.857965,2.286564,0.055562,10.000000,0.351243,0.591353,15.766665,
26076,5.857967,2.286570,0.055590,10.000000,0.356526,0.591565,15.751002,
26086,5.858219,2.286647,0.054482,10.000000,0.363951,0.529844,15.749866,
26096,5.858220,2.286652,0.054479,10.000000,0.366904,0.545891,15.730569,
26106,5.858214,2.286645,0.054464,10.000000,0.371848,0.563731,15.713146,
26116,5.857568,2.286205,0.054574,10.000000,0.438603,0.764556,15.679267,
26126,5.858678,2.286775,0.054402,10.000000,0.360258,0.413189,15.696271,
26136,5.857552,2.286197,0.056029,10.000000,0.427797,0.776510,15.656179,
26146,5.857944,2.286554,0.056915,10.000000,0.352364,0.611623,15.641998,
26156,5.858181,2.286618,0.057000,10.000000,0.359977,0.546957,15.638841,
26166,5.858170,2.286617,0.057141,10.000000,0.364995,0.566242,15.621808,
26176,5.858256,2.286402,0.055134,10.000000,0.432302,0.577497,15.633978,
26186,5.858189,2.286641,0.055219,10.000000,0.357099,0.583851,15.582576,
26196,5.858190,2.286638,0.055230,10.000000,0.365465,0.591322,15.569678,
26206,5.858194,2.286644,0.055239,10.000000,0.365059,0.591272,15.553651,
26216,5.858436,2.286717,0.054351,10.000000,0.369396,0.532815,15.555188,
26226,5.858187,2.286644,0.054418,10.000000,0.374994,0.620044,15.521579,
26236,5.858186,2.286647,0.054387,10.000000,0.374259,0.619641,15.506124,
26246,5.858187,2.286650,0.054357,10.000000,0.373571,0.618594,15.490873,
26256,5.858183,2.286654,0.054327,10.000000,0.371569,0.618223,15.476111,
26266,5.858429,2.286729,0.053343,10.000000,0.374108,0.555249,15.477225,
26276,5.858200,2.286666,0.053355,10.000000,0.376047,0.628832,15.445366,
26286,5.858202,2.286668,0.053280,10.000000,0.375831,0.627223,15.431149,
26296,5.858202,2.286665,0.053205,10.000000,0.376112,0.627092,15.415123,
26306,5.858449,2.286732,0.053461,10.000000,0.376708,0.558557,15.415082,
26316,5.858212,2.286669,0.053503,10.000000,0.377066,0.634665,15.382427,
26326,5.858211,2.286671,0.053456,10.000000,0.377233,0.633176,15.367334,
26336,5.858449,2.286741,0.053443,10.000000,0.377273,0.567825,15.367399,
26346,5.858449,2.286747,0.053418,10.000000,0.376948,0.578179,15.350885,
26356,5.858455,2.286748,0.052788,10.000000,0.380598,0.589917,15.334620,
26366,5.858214,2.286684,0.052737,10.000000,0.380012,0.661863,15.305120,
26376,5.858216,2.286679,0.052682,10.000000,0.382194,0.650817,15.292931,
26386,5.857578,2.286252,0.052413,10.000000,0.446949,0.830049,15.256280,
26396,5.858438,2.286725,0.054285,10.000000,0.369824,0.523876,15.273643,
26406,5.858207,2.286655,0.054550,10.000000,0.375445,0.604679,15.252104,
26416,5.858206,2.286653,0.054586,10.000000,0.375501,0.603007,15.236318,
