'tempo': 25866,{'stateEstimate.x': 5.857553482055664, 'stateEstimate.y': 2.286170244216919, 'stateEstimate.z': 0.055786535143852234, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.44497090578079224, 'stabilizer.pitch': 0.8080255389213562, 'stabilizer.yaw': 16.073087692260742}#
'tempo': 25876,{'stateEstimate.x': 5.857952117919922, 'stateEstimate.y': 2.286531686782837, 'stateEstimate.z': 0.05697811767458916, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36850160360336304, 'stabilizer.pitch': 0.6275290250778198, 'stabilizer.yaw': 16.0440673828125}#
'tempo': 25886,{'stateEstimate.x': 5.857552528381348, 'stateEstimate.y': 2.2861602306365967, 'stateEstimate.z': 0.05703255906701088, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.43622931838035583, 'stabilizer.pitch': 0.7432733178138733, 'stabilizer.yaw': 16.03232192993164}#
'tempo': 25896,{'stateEstimate.x': 5.858179569244385, 'stateEstimate.y': 2.2865896224975586, 'stateEstimate.z': 0.05804035812616348, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36021313071250916, 'stabilizer.pitch': 0.51691734790802, 'stabilizer.yaw': 16.021484375}#
'tempo': 25906,{'stateEstimate.x': 5.8582024574279785, 'stateEstimate.y': 2.2866129875183105, 'stateEstimate.z': 0.055681467056274414, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36534544825553894, 'stabilizer.pitch': 0.534659206867218, 'stabilizer.yaw': 16.005508422851562}#
'tempo': 25916,{'stateEstimate.x': 5.8582048416137695, 'stateEstimate.y': 2.2866158485412598, 'stateEstimate.z': 0.05568601191043854, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36857032775878906, 'stabilizer.pitch': 0.5463289022445679, 'stabilizer.yaw': 15.990023612976074}#
'tempo': 25926,{'stateEstimate.x': 5.857964038848877, 'stateEstimate.y': 2.286546230316162, 'stateEstimate.z': 0.055750153958797455, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37183311581611633, 'stabilizer.pitch': 0.6192984580993652, 'stabilizer.yaw': 15.961601257324219}#
'tempo': 25936,{'stateEstimate.x': 5.858443260192871, 'stateEstimate.y': 2.2866854667663574, 'stateEstimate.z': 0.05587483197450638, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3729555010795593, 'stabilizer.pitch': 0.4840451776981354, 'stabilizer.yaw': 15.976943969726562}#
'tempo': 25946,{'stateEstimate.x': 5.858448028564453, 'stateEstimate.y': 2.286689043045044, 'stateEstimate.z': 0.055177461355924606, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37623336911201477, 'stabilizer.pitch': 0.5109884142875671, 'stabilizer.yaw': 15.957474708557129}#
'tempo': 25956,{'stateEstimate.x': 5.8584513664245605, 'stateEstimate.y': 2.286691665649414, 'stateEstimate.z': 0.055164724588394165, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3782186210155487, 'stabilizer.pitch': 0.5311993360519409, 'stabilizer.yaw': 15.939248085021973}#
'tempo': 25966,{'stateEstimate.x': 5.858212471008301, 'stateEstimate.y': 2.2866246700286865, 'stateEstimate.z': 0.05518260970711708, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37917932868003845, 'stabilizer.pitch': 0.6101909875869751, 'stabilizer.yaw': 15.908058166503906}#
